,id,title,link,sources,date,coord
86,EONET_6760,"Creek Wildfire, Crook, Wyoming",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6760,https://irwin.doi.gov/observer/,2024-06-11,"[-104.658384, 44.925824]"
87,EONET_6764,"Trail Wildfire, Washoe, Nevada",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6764,https://irwin.doi.gov/observer/,2024-06-11,"[-119.764023, 39.625623]"
88,EONET_6771,"GROVE Wildfire, Spokane, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6771,https://irwin.doi.gov/observer/,2024-06-11,"[-117.487836, 47.58265]"
89,EONET_6774,"Interlaken Wildfire, Lake, Colorado",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6774,https://irwin.doi.gov/observer/,2024-06-11,"[-106.31127, 39.07743]"
90,EONET_6779,"LA PORTE Wildfire, Butte, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6779,https://irwin.doi.gov/observer/,2024-06-11,"[-121.403826, 39.390536]"
91,EONET_6780,"WATKINS Wildfire, Mariposa, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6780,https://irwin.doi.gov/observer/,2024-06-11,"[-119.539277, 37.783315]"
92,EONET_6783,"Warm Creek Wildfire, Jerome, Idaho",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6783,https://irwin.doi.gov/observer/,2024-06-11,"[-114.458227, 42.602062]"
93,EONET_6788,"PRESTON ROAD Wildfire, Okanogan, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6788,https://irwin.doi.gov/observer/,2024-06-11,"[-120.132973, 48.215485]"
94,EONET_6789,"STODDARD 3 Wildfire, San Bernardino, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6789,https://irwin.doi.gov/observer/,2024-06-11,"[-117.055431, 34.785296]"
95,EONET_6795,"Lake Creek Wildfire, Harney, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6795,https://irwin.doi.gov/observer/,2024-06-11,"[-119.227055, 43.751269]"
96,EONET_6798,"Snow Ranch Wildfire, Archuleta, Colorado",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6798,https://irwin.doi.gov/observer/,2024-06-11,"[-107.220193, 37.253575]"
97,EONET_6804,"E Antelope Rd 2528 Wildfire, Jackson, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6804,https://irwin.doi.gov/observer/,2024-06-11,"[-122.7488833, 42.41375]"
98,EONET_6813,"Wildcat Wildfire, Tooele, Utah",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6813,https://irwin.doi.gov/observer/,2024-06-11,"[-113.296123, 40.47799]"
99,EONET_6816,"Bogners - Carter Wildfire, Carter, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6816,https://irwin.doi.gov/observer/,2024-06-11,"[-105.00292, 45.21458]"
