,date,impact_energy(kt),velocity(km/s),altitude,coord
158,2020-01-16,0.19,12.9,27.8,"(('71.7', 'S'), ('116.4', 'W'))"
159,2020-01-15,0.55,N/A,31.5,"(('23.7', 'S'), ('125.2', 'W'))"
160,2020-01-06,0.15,N/A,N/A,"(('70.4', 'S'), ('17.5', 'W'))"
161,2019-12-21,0.21,22.2,35.5,"(('56.5', 'N'), ('147.6', 'W'))"
162,2019-12-11,0.13,17.8,37,"(('47.7', 'N'), ('161.7', 'E'))"
163,2019-12-06,0.15,N/A,19.5,"(('3.3', 'S'), ('37.7', 'W'))"
164,2019-12-03,0.14,N/A,61.5,"(('5.6', 'N'), ('52.2', 'W'))"
165,2019-11-28,0.095,13.0,35,"(('35.7', 'N'), ('31.7', 'W'))"
166,2019-11-28,0.092,N/A,N/A,"((None, None), (None, None))"
167,2019-11-28,0.089,24.7,22.5,"(('22.1', 'S'), ('25.7', 'E'))"
168,2019-11-05,0.33,27.4,38.0,"(('10.4', 'S'), ('143.3', 'W'))"
169,2019-10-22,0.095,N/A,40.7,"(('12.0', 'N'), ('76.0', 'W'))"
170,2019-10-10,0.57,14.1,47.3,"(('44.3', 'N'), ('122.9', 'E'))"
171,2019-09-28,0.082,20.4,52,"(('12.5', 'S'), ('107.2', 'W'))"
172,2019-09-27,0.12,N/A,N/A,"(('25.7', 'N'), ('28.4', 'W'))"
173,2019-09-14,0.33,15.9,38,"(('38.6', 'S'), ('33.5', 'W'))"
174,2019-09-13,0.14,13.5,27.4,"(('18.6', 'S'), ('126.9', 'E'))"
175,2019-09-12,0.48,18.5,42,"(('54.5', 'N'), ('9.2', 'E'))"
176,2019-09-12,0.19,17.2,30.6,"(('24.9', 'N'), ('47.8', 'W'))"
177,2019-08-24,0.13,13.4,39.8,"(('21.9', 'N'), ('130.4', 'W'))"
178,2019-08-22,0.073,N/A,30.2,"(('24.4', 'S'), ('92.9', 'W'))"
179,2019-08-16,0.089,14.9,36.0,"(('38.9', 'N'), ('7.0', 'E'))"
180,2019-07-23,0.69,16.1,30.6,"(('44.6', 'N'), ('147.6', 'W'))"
181,2019-06-30,0.11,42.3,59.0,"(('21.2', 'N'), ('129.5', 'W'))"
182,2019-06-30,0.076,N/A,N/A,"(('2.5', 'S'), ('168.7', 'E'))"
183,2019-06-22,6,14.9,25.0,"(('14.9', 'N'), ('66.2', 'W'))"
184,2019-06-20,0.098,N/A,37.0,"(('7.3', 'N'), ('67.6', 'W'))"
185,2019-05-26,0.14,17.5,24.4,"(('56.6', 'N'), ('25.3', 'W'))"
186,2019-05-25,0.16,15.8,29.2,"(('19.2', 'S'), ('89.4', 'E'))"
187,2019-05-22,0.29,N/A,32.6,"(('10.8', 'N'), ('37.3', 'W'))"
188,2019-05-21,1.6,11.5,31.5,"(('38.8', 'S'), ('137.5', 'E'))"
189,2019-05-19,0.11,15.2,33.3,"(('23.6', 'S'), ('132.8', 'E'))"
190,2019-05-12,0.076,N/A,N/A,"(('6.2', 'N'), ('57.1', 'W'))"
191,2019-05-04,0.079,N/A,26.5,"(('28.4', 'N'), ('88.3', 'W'))"
192,2019-04-22,0.37,11.4,33.3,"(('48.8', 'S'), ('67.8', 'E'))"
193,2019-04-14,0.1,15.9,30.6,"(('18.3', 'N'), ('74.6', 'W'))"
194,2019-04-06,0.22,18.1,41.5,"(('56.5', 'N'), ('94.9', 'E'))"
195,2019-04-04,0.098,N/A,N/A,"(('35.3', 'N'), ('93.9', 'W'))"
196,2019-03-27,0.079,N/A,N/A,"(('41.8', 'S'), ('7.4', 'W'))"
197,2019-03-19,0.073,16.2,28.7,"(('24.0', 'S'), ('140.3', 'E'))"
198,2019-03-15,0.15,14.4,31.5,"(('63.7', 'N'), ('95.7', 'E'))"
199,2019-02-18,4.2,20.8,26,"(('15.5', 'S'), ('25.3', 'E'))"
200,2019-02-01,1.4,16.3,23.7,"(('22.5', 'N'), ('83.8', 'W'))"
201,2019-01-29,0.089,N/A,N/A,"((None, None), (None, None))"
202,2019-01-22,0.12,11.6,42.5,"(('18.0', 'N'), ('6.5', 'E'))"
203,2018-12-23,0.27,16.5,31.8,"(('47.5', 'S'), ('174.4', 'W'))"
204,2018-12-18,49,13.6,26.0,"(('56.9', 'N'), ('172.4', 'E'))"
205,2018-11-20,1.1,17.4,27.4,"(('25.3', 'N'), ('6.7', 'W'))"
206,2018-11-17,0.61,19.1,32.5,"(('47.3', 'N'), ('172.9', 'W'))"
207,2018-11-15,0.073,N/A,N/A,"(('42', 'N'), ('57', 'W'))"
208,2018-11-14,0.13,N/A,37,"(('37.6', 'S'), ('83.5', 'E'))"
209,2018-10-24,0.16,N/A,33.3,"(('6.7', 'S'), ('148.6', 'W'))"
210,2018-10-22,0.092,N/A,N/A,"((None, None), (None, None))"
211,2018-10-05,0.13,14.7,31.5,"(('39.8', 'S'), ('31.7', 'W'))"
212,2018-09-25,1.9,16.5,33.0,"(('23.5', 'S'), ('56.8', 'E'))"
213,2018-09-25,0.17,12.5,40.7,"(('34.3', 'S'), ('44.9', 'E'))"
214,2018-09-20,0.26,11.1,N/A,"(('67.3', 'S'), ('75.1', 'E'))"
215,2018-09-17,0.43,N/A,N/A,"(('6.8', 'S'), ('27.8', 'W'))"
216,2018-09-13,0.14,N/A,N/A,"(('42.5', 'N'), ('50.1', 'W'))"
217,2018-08-27,0.086,16.1,33.0,"(('1.7', 'S'), ('141.4', 'E'))"
218,2018-08-21,0.079,N/A,37.0,"(('39.2', 'S'), ('162.9', 'W'))"
219,2018-07-27,0.32,N/A,32.0,"(('58.8', 'S'), ('105.8', 'E'))"
220,2018-07-25,2.1,24.4,43.3,"(('76.9', 'N'), ('69.0', 'W'))"
221,2018-07-17,0.59,N/A,N/A,"(('82.5', 'N'), ('136.7', 'W'))"
222,2018-06-26,0.1,14.1,63.0,"(('32.0', 'N'), ('12.1', 'E'))"
223,2018-06-21,2.8,14.4,27.2,"(('52.8', 'N'), ('38.1', 'E'))"
224,2018-06-02,0.98,16.9,28.7,"(('21.2', 'S'), ('23.3', 'E'))"
225,2018-05-12,0.54,N/A,34,"(('6.5', 'S'), ('173.7', 'E'))"
226,2018-05-08,0.23,N/A,N/A,"(('32', 'N'), ('60.7', 'W'))"
227,2018-05-03,0.13,11.5,39,"(('46.9', 'N'), ('7.5', 'W'))"
228,2018-04-30,0.1,13.1,34,"(('45.5', 'S'), ('1.4', 'W'))"
229,2018-04-21,0.12,14.6,28.2,"(('59.0', 'S'), ('45.8', 'E'))"
230,2018-04-19,0.23,20.9,30,"(('7.5', 'N'), ('3.6', 'E'))"
231,2018-04-19,1.3,10.9,31.5,"(('22.2', 'S'), ('72.6', 'E'))"
232,2018-04-07,0.27,N/A,31.5,"(('72.4', 'N'), ('78.7', 'W'))"
233,2018-02-21,0.22,13.1,31.5,"(('13.5', 'S'), ('37.1', 'W'))"
234,2018-02-15,0.095,N/A,50.7,"(('43.8', 'S'), ('1.1', 'W'))"
235,2018-02-12,0.13,N/A,N/A,"(('15.9', 'S'), ('58.9', 'W'))"
236,2018-02-08,0.7,N/A,43.5,"(('42.9', 'N'), ('179.7', 'E'))"
237,2018-02-01,0.53,16.5,37.0,"(('19.4', 'S'), ('104.3', 'E'))"
238,2018-01-22,0.11,N/A,N/A,"(('14.0', 'N'), ('17.4', 'W'))"
239,2018-01-15,0.56,23.7,43.6,"(('52.0', 'S'), ('57.2', 'E'))"
240,2018-01-06,0.098,21.0,26.0,"(('55.8', 'N'), ('52.5', 'E'))"
241,2018-01-06,0.12,N/A,26.0,"(('39.5', 'S'), ('12.8', 'E'))"
242,2017-12-31,0.15,N/A,64.5,"(('63.5', 'S'), ('101.3', 'W'))"
243,2017-12-29,0.33,N/A,38.0,"(('14.6', 'N'), ('49.5', 'W'))"
244,2017-12-28,0.34,N/A,N/A,"((None, None), (None, None))"
245,2017-12-15,6.4,31.4,20.0,"(('60.2', 'N'), ('170.0', 'E'))"
246,2017-11-19,0.098,11.4,33.3,"(('24.2', 'S'), ('135.0', 'E'))"
247,2017-10-26,1.4,N/A,42.5,"(('21.3', 'S'), ('177.6', 'E'))"
248,2017-10-23,0.086,16.7,35.4,"(('28.8', 'N'), ('44.6', 'E'))"
249,2017-10-15,0.11,15.9,24.1,"(('65.2', 'S'), ('128.2', 'E'))"
250,2017-10-09,0.1,N/A,N/A,"(('18.3', 'S'), ('64.1', 'W'))"
251,2017-10-04,0.54,14.6,37.0,"(('28.1', 'N'), ('99.4', 'E'))"
252,2017-09-05,0.13,14.7,36.0,"(('49.3', 'N'), ('116.9', 'W'))"
253,2017-07-31,0.19,N/A,N/A,"(('24.7', 'N'), ('118.5', 'W'))"
254,2017-07-23,0.12,17.2,38.0,"(('6.6', 'S'), ('69.7', 'W'))"
255,2017-07-13,0.23,13.7,35.0,"(('23.1', 'N'), ('60.7', 'E'))"
256,2017-06-30,0.29,15.2,20.0,"(('34.3', 'S'), ('134.5', 'E'))"
257,2017-06-23,0.52,24.3,35.1,"(('57.0', 'N'), ('143.7', 'E'))"
258,2017-06-20,1.6,13.6,33.3,"(('54.2', 'S'), ('133.0', 'E'))"
259,2017-05-24,0.28,18.4,46.0,"(('9.1', 'S'), ('101.8', 'E'))"
260,2017-05-22,0.12,N/A,33.0,"(('49.6', 'S'), ('157.6', 'W'))"
261,2017-05-14,0.12,N/A,33.0,"(('26.0', 'S'), ('32.4', 'E'))"
262,2017-04-30,0.43,21.5,32.4,"(('25.7', 'S'), ('56.2', 'E'))"
263,2017-03-11,2.9,N/A,28.0,"(('28.3', 'N'), ('60.2', 'W'))"
264,2017-03-09,1,36.5,23.0,"(('40.5', 'N'), ('18.0', 'W'))"
265,2017-03-08,0.23,N/A,37.0,"(('26.1', 'S'), ('174.9', 'E'))"
266,2017-02-25,0.21,12.2,25.4,"(('29.5', 'N'), ('13.5', 'E'))"
267,2017-02-22,0.13,N/A,N/A,"(('50.7', 'S'), ('66.0', 'W'))"
268,2017-02-18,0.79,24.2,38.0,"(('6.2', 'N'), ('60.4', 'E'))"
269,2017-02-07,0.073,N/A,54.0,"(('27.4', 'S'), ('14.8', 'W'))"
270,2017-02-06,0.21,N/A,33.5,"(('10.4', 'N'), ('131.6', 'E'))"
271,2016-12-23,0.13,29.7,42.0,"(('21.3', 'N'), ('49.3', 'E'))"
272,2016-12-07,0.35,N/A,N/A,"(('34.5', 'S'), ('126.6', 'W'))"
273,2016-11-29,0.11,N/A,N/A,"(('30.6', 'S'), ('93.1', 'W'))"
274,2016-11-24,0.4,17.4,30.6,"(('15.2', 'S'), ('80.3', 'E'))"
275,2016-11-03,0.24,N/A,37,"(('39.6', 'S'), ('16.3', 'W'))"
276,2016-10-01,0.11,14.2,27.8,"(('36.2', 'N'), ('6.7', 'E'))"
277,2016-09-22,0.22,17.5,40.0,"(('51.8', 'S'), ('178.5', 'E'))"
278,2016-09-14,0.24,18.3,54.0,"(('3.5', 'S'), ('44.6', 'E'))"
279,2016-08-27,0.41,N/A,42.0,"(('56.9', 'S'), ('162.2', 'E'))"
280,2016-08-11,0.52,14.9,34.3,"(('43.7', 'S'), ('53.8', 'E'))"
281,2016-08-05,0.36,N/A,32.4,"(('46.4', 'N'), ('171.6', 'E'))"
282,2016-07-21,0.15,N/A,37.0,"(('7.8', 'N'), ('1.6', 'W'))"
283,2016-07-05,0.44,25.1,38.2,"(('1.0', 'N'), ('48.6', 'E'))"
284,2016-06-27,1.2,29.1,33.3,"(('15.8', 'N'), ('11.9', 'W'))"
285,2016-06-05,0.87,14.5,28.7,"(('17.4', 'S'), ('138.3', 'E'))"
286,2016-06-02,0.49,N/A,N/A,"(('33.8', 'N'), ('110.9', 'W'))"
287,2016-05-29,0.22,N/A,32.0,"(('10.2', 'N'), ('48.8', 'W'))"
288,2016-05-20,0.073,20.8,30.6,"(('32.8', 'S'), ('15.1', 'E'))"
289,2016-05-16,1.3,12.2,41.7,"(('3.2', 'N'), ('6.6', 'E'))"
290,2016-05-13,0.31,N/A,33.0,"(('26.2', 'N'), ('122.3', 'W'))"
291,2016-04-24,0.42,N/A,50.0,"(('9.8', 'N'), ('42.8', 'W'))"
292,2016-04-18,0.62,17.1,31.5,"(('20.7', 'N'), ('14.5', 'W'))"
293,2016-04-12,0.073,N/A,N/A,"(('38.3', 'N'), ('162.2', 'E'))"
294,2016-04-10,1.6,15.1,35.2,"(('22.0', 'N'), ('149.0', 'E'))"
295,2016-03-16,0.11,13.3,42.0,"(('49.2', 'S'), ('6.3', 'W'))"
296,2016-03-03,0.19,11.7,31.8,"(('48.0', 'S'), ('51.0', 'E'))"
297,2016-02-23,0.12,17.9,44.0,"(('32.3', 'N'), ('67.2', 'E'))"
298,2016-02-21,0.96,N/A,32.0,"(('36.5', 'N'), ('37.2', 'W'))"
299,2016-02-19,0.56,15.5,39.4,"(('0.7', 'N'), ('11.6', 'W'))"
300,2016-02-13,0.17,N/A,N/A,"(('3.1', 'N'), ('117.9', 'E'))"
301,2016-02-06,13,15.6,31.0,"(('30.4', 'S'), ('25.5', 'W'))"
302,2016-01-27,0.16,11.5,37,"(('45.8', 'S'), ('53.6', 'E'))"
303,2016-01-21,0.15,18.1,42.5,"(('10.8', 'S'), ('0.7', 'E'))"
304,2015-12-30,0.079,N/A,39.0,"(('33.8', 'N'), ('160.7', 'W'))"
