Asteroid ID,Name,Est diameter (km),Potentially hazardous?,Closest approach date,Approach velocity (kps),How much did the asteroid miss us by? (km),For more info on this asteroid: 
54420625,(2024 AO4),0.08,False,2024-01-10,9.27,11700452.15,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420625
54420792,(2024 BA),0.03,False,2024-01-10,12.5,1454678.18,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420792
54421083,(2024 BQ),0.05,False,2024-01-10,12.72,2244879.06,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421083
54421392,(2024 BJ1),0.08,False,2024-01-10,18.91,37033526.58,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421392
54423685,(2024 CF),0.27,False,2024-01-10,5.02,58687144.75,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423685
54423830,(2024 BT6),0.25,False,2024-01-10,27.05,65356408.98,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423830
54435203,(2024 HM),0.07,False,2024-01-10,5.46,39156054.84,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54435203
54435209,(2023 MJ20),0.0,False,2024-01-10,7.73,46953019.64,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54435209
54445203,(2024 KE1),0.06,False,2024-01-10,6.77,57369673.46,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54445203
2380476,380476 (2003 YO1),0.58,False,2024-01-15,9.41,50543385.05,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2380476
3312035,(2006 AM8),0.52,False,2024-01-15,39.59,64141071.46,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3312035
3632236,(2013 EH89),0.4,False,2024-01-15,9.49,15343813.24,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3632236
3703319,(2015 AK1),0.06,False,2024-01-15,13.22,6069534.51,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3703319
3757000,(2016 PQ8),0.16,False,2024-01-15,7.7,56229944.69,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3757000
3905993,(2019 XK1),0.03,False,2024-01-15,16.47,68558756.12,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3905993
54137806,(2021 GL16),0.02,False,2024-01-15,5.66,28234939.85,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54137806
54292689,(2022 OJ5),0.01,False,2024-01-15,5.93,22652204.69,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54292689
54377191,(2023 QP),0.09,False,2024-01-15,12.1,62756295.16,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377191
54382061,(2023 RE4),0.02,False,2024-01-15,5.26,52066045.61,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54382061
54416964,(2023 XW14),0.22,True,2024-01-15,25.83,14754761.35,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416964
54418266,(2023 YP1),0.37,False,2024-01-15,19.32,23656452.94,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418266
54419697,(2024 AT2),0.01,False,2024-01-15,8.74,1434550.09,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419697
54419808,(2024 AD3),0.28,False,2024-01-15,10.31,62450039.08,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419808
54419818,(2024 AN3),0.04,False,2024-01-15,9.44,9565774.61,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419818
54427461,(2024 BA16),0.01,False,2024-01-15,8.94,140009.71,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54427461
2670011,670011 (2013 EH89),0.41,False,2024-01-15,9.49,15343807.68,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2670011
54445919,(2024 LK1),0.07,False,2024-01-15,18.56,58648738.04,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54445919
3009717,(1997 AC11),0.31,False,2024-01-17,16.24,38744736.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3009717
3623683,(2013 AG53),0.05,False,2024-01-17,10.98,47526576.51,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3623683
3625334,(2013 BB70),0.07,False,2024-01-17,11.2,8713577.87,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3625334
3752802,(2016 JN6),0.03,False,2024-01-17,4.8,57312730.87,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3752802
54101667,(2020 YA2),0.01,False,2024-01-17,19.58,66021312.62,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54101667
54103879,(2021 AA),0.02,False,2024-01-17,33.83,59433743.86,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54103879
54165800,(2021 NM),0.02,False,2024-01-17,20.28,73147519.86,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54165800
54340106,(2023 BE4),0.03,False,2024-01-17,15.91,10395738.47,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340106
54341464,(2023 CD1),0.08,False,2024-01-17,12.35,72682987.63,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341464
54352304,(2023 FQ4),0.01,False,2024-01-17,7.29,46622164.65,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54352304
54406859,(2023 WY),0.21,False,2024-01-17,11.1,27943073.06,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54406859
54420790,(2024 AV4),0.04,False,2024-01-17,15.47,3319016.51,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420790
54421064,(2024 BB),0.03,False,2024-01-17,16.98,4035773.8,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421064
54421646,(2024 BS1),0.01,False,2024-01-17,16.43,1188438.02,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421646
